name,city,keywords,description,location,transport,contact,since,timeFromChatelet
THEATRAL DU VAL D'OISE,Val D'oise,Spectacle Vivant,organisateur du Drolatic! Festival,Dans de nombreuses villes du Val D'oise ( 41 villes du département),depending on location and event,01 34 20 01 08        festivaltheatralduvaldoise@yahoo.fr - www.thea-valdoise-public.org/,1983,N/A
ARMADILLO,Vanves,innovation,specializes in the creating structures for databases.,"46 bis, rue de la République<br/>92 170 Vanves","Métro 12 : Arrêt Corentin Celton<br/>Bus 189 : Arrêt République (direction Clamart Pompidou)<br/>Bus 126 : Arrêt Maréchal Delattre de Tassigny (direction porte d’Orléans)",http://armadillo.fr/ 01 46 62 03 26 contact@armadillo.fr,1988,40mins
L'ASSOCIATION ŒUVRE PARTICIPATIVE,Vanves,Arts Visuels,"""Œuvre ensemble"" évoque une certaine idée de l’art, un art qui invite ceux qui le souhaitent à participer à l'oeuvre.",43 rue Henri Martin 92170 Vanves,LIGNES 13 Malakoff Plateau de Vanves,01 46 38 99 82 ou 06 80 46 63 58,2010,36mins
THEATRE DE VANVES,Vanves,"Spectacle Vivant, Cinema, Musique, Education","Véritable tremplin reconnu pour la jeune création contemporaine en théâtre, danse et musique. Deux salles à 8mn à pied l'une de l'autre. Festival Ardanthé.",Théâtre: 12 rue Sadi Carnot - 92170 Vanves. Salle Panopée : 11 avenue Jézéquel - 92170 Vanves.,"Métro ligne 13 : Malakoff - Plateau de Vanves (puis 8 mn à pied), Métro 12 : Corentin-Celton (puis 8 mn à pied)<br/>Bus 58 : Lycée Michelet<br/>Bus 89 : Square de l'Insurrection<br/>Bus 126 : Mairie de Vanves - Centre administratif<br/>Bus 189 : Place du Maréchal-De-Lattre-de-Tassigny - N62 (Noctambus) : Mairie de Vanves - Centre administratif (après 23h30)<br/>Train Gare SNCF Vanves-Malakoff (4mn depuis Montparnasse)<br/>Vélib – Autolib",www.theatre-vanves.fr,,PANOPÉE- 36mins Theatre-40mins
ART SCIENCE FACTORY,VARIOUS LOCATIONS,"Innovation, Arts Visuels",Biennale,20
LOCATIONS WITHIN ESSONNE,depending on location and event,www.lasciencedelart.info,1999,DEPENDS ON LOCATION.
ATMOSPHERE FESTIVAL,Various locations,Festival,The sole objective of this festival is to present for free to the biggest public possible a vision of a future durable world expressed through various mediums of art.,"Cinéma Abel Gance-184 Bd St Denis - 92400 Courbevoie or Espace Carpeaux<br/>15 Boulevard Aristide Briand<br/>92400 Courbevoie Also takes places at La Defense",SNCF L- Becon les bruyeres,www.atmospheresfestival.com ,2010,33mins
FESTIVAL AFRICOLOR,Various Locations,"Musique, Cinema",Festival,"various locations; Université Paris 13,",N/A,www.africolor.com,2009,N/A
JAZZ EN BOUCLE,Various locations,"Musique, Cinema",Festival,various locations,n/a,33 (0) 1 48 89 99 10 33 (0) 1 48 89 22 11 http://www.jazzenboucle.com/,2008,N/A
TRACE,Various locations in the Hauts-de-Seine,"Musique, Arts Visuels",It is not just a festival but a space and event to highlight the musical creativity happening in Hauts-de-Seine,various locations,various locations,www.reseau92.com/trace,2000,N/A
FESTIVAL CINEBANLIEUE,Various Locations; Porte des lilas/ Aubervilliers/ St Denis,Cinema,Festival,"99, avenue JB Clément, 93430 Villetaneuse",Porte des lilas/Ligne 11/Aubervilliers Quatre-chemins/Ligne 7/Basilique de Saint-Denis/Ligne 13,www.cinebanlieue.org,2006,20mins
SONS D'HIVER,"Various Locations; Vincennes, Rungis, Vitry-sur-seine, Choisy-le-roi, Arcueil..",Musique,festival du musique dans val-de-marne,various locations from,various locations,www.sonsdhiver.org,1991,N/A
FESTIVAL MÉTIS,Various locations/Saint Denis,Festival,A festival which takes place to raise awareness of present projects through; soundpainting and masterclasses. Providing a showcase for different artists and locations,Multiple locations,Multiple locations,www.metis-plainecommune.com 01 48 13 12 10,2004,N/A
L'ONDE,Vélizy-Villacoublay,"Spectacle Vivant, Arts Visuels",centre d’art contemporain et theatre,"8 Avenue Louis Breguet, 78140 Vélizy-Villacoublay","RER C  - arrêt Chaville-Vélizy. <br/>Puis 10 min, bus cvj ou czi - direction Vélizy, arrêt Robert Wagner                                      Navette gratuite au départ de Concorde les soirs de vernissage et de créations. service de covoiturage de Vélizy-Villacoublay","01 34 58 03 35<br/>www.londe.fr",2003,41mins
BULKYPIX,Versailles,"Innovation, Jeux Video",Editeur de jeux vidéo,"6, avenue de Sceaux<br/>78000 Versailles",RER C- Versailles Rive Gauche,"http://www.bulkypix.com  01 34 65 93 34<br/>contact@bulkypix.com",2008,51mins
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE VERSAILLE,Versailles,Education,"Its primary goal is to train architects<br/>capable of exercising a range of<br/>professional practices and ready to<br/>accomplish new assignments in order to<br/>meet the ecological and sociological<br/>intricacies of the surrounding world.","5 avenue de Sceaux<br/>78006 Versailles",RER C : gare de Versailles-Rive Gauche,00 33 (0)1 39 07 40 00 http://www.versailles.archi.fr/,1969,54mins
ECOLE NATIONALE SUPERIEURE DE PAYSAGE,Versailles,Education,Elle forme des concepteurs en paysage intervenant aussi bien sur les parcs et jardins que sur les grands territoires et les espaces publics urbains ou ruraux.,"10, rue du Maréchal Joffre 78000 Versailles <br/>",RER C : gare de Versailles-Rive Gauche,"Email: b.blanchon@versailles.ecole-paysage.fr <br/>Website:www.versailles.ecole-paysage.fr <br/>Contact Person: Bernadette Blanchon-Caillot",1976,59mins
ISIPCA,Versailles,Education,"ISIPCA has become nationally and internationally recognized for its vocational courses and research in Perfumery, Cosmetics and Food Flavours.","34/36 Rue du Parc de Clagny<br/>78000 Versailles, France",SNCF La Maye,http://www.isipca.fr/,1970,56mins
LA MARECHALERIE,Versailles,Arts Visuels,Centre d'Art contemporain attaché à l'Ecole d'Architecture. Membre du réseau Tram.,"5 avenue de Sceaux<br/>78000 Versailles","RER C: Versailles - Rive Gauche Gare de Versailles rive droite Gare de Versailles Chantiers Autobus 171 en provenance du Pont <br/>de Sèvres",01.39.07.40.27 lamarechalerie.versailles.archi.fr/,,51mins
ESPACE SORANO,Vincennes,"Musique, Spectacle Vivant, Arts Visuels,  Education",espace multi-disciplinaire,"16, rue Charles Pathé<br/>94300 VINCENNES","RER A : Vincennes<br/>Métro Ligne 1 : Bérault, Château de Vincennes<br/>BUS : 46, 56, 112, 114, 115, 118, 124, 210, 215, 318, 325","Tél : 01 43 74 73 74<br/>www.espacesorano.com<br/>info@espacesorano.com",n/a,25 min
PRIX HENRI LANGLOIS,Vincennes,Cinema,film festival,"1-15 rue Raymond du Temple, 94300 Vincennes",Line 1; Chateau de Vincennes,"www.prixhenrilanglois.org, 33 (1) 43 98 27 37 mb.p@wanadoo.fr",2006,23mins
GALERIE MUNICIPALE JEAN COLLET,Vitry sur seine,Arts Visuels,un lieu d’expositions d’art contemporain.,"59 avenue Guy-Moquet<br/>94400 Vitry-sur-Seine",RER C vitry sur seine then take the bus 180 arrêt Église,"01 43 91 15 33<br/>galerie.municipale(at)mairie-vitry94.fr<br/>http://galerie.vitry94.fr/",N/A,41mins
MACVAL,Vitry sur seine,Arts Visuels,Vaste musée d’art contemporain,"Place de la Libération<br/>94404 Vitry-sur-Seine","Ligne 7 (dir. Mairie d’Ivry) ou tramway T3, arrêt Porte de Choisy. Puis bus 183, arrêt MAC/VAL.<br/>Ligne 7 (dir. Villejuif) arrêt terminus. Puis bus 180 (dir. Charenton-Ecole) ou bus 172 (vers Créteil-Echat), arrêt MAC/VAL.<br/>Ligne 8 (dir. Créteil-Préfecture) arrêt Liberté. Puis bus 180 (dir. Villejuif), arrêt MAC/VAL.<br/>RER C : gare de Vitry / Seine. Puis bus 180 (dir. Villejuif/Louis aragon), arrêt MAC/VAL.<br/>RER D : gare de Maisons-Alfort / Alfortville. Puis bus 172 (dir. Bourg-la-Reine RER), arrêt Henri de Vilmorin.","01 43 91 64 20<br/>contact@macval.fr www.macval.fr/","November 17, 2005.",43mins
